"","BIC","MAP","SPBIC"
"iso_combo1_1",-1549.38577720662,-439.054897678454,-1543.15924053733
"iso_combo1_2",-1460.72776373157,-350.396884203402,-1454.50122706228
"iso_combo1_3",-1384.28093931782,-273.950059789657,-1378.05440264853
"iso_combo1_4",-1537.46222085037,-427.131341322206,-1531.23568418108
"iso_combo1_5",-1448.97648760464,-338.645608076478,-1442.74995093536
"iso_combo1_6",-1580.68771689674,-470.356837368572,-1574.46118022745
"iso_combo1_7",-1378.89601127857,-268.565131750407,-1372.66947460928
"iso_combo1_8",-1423.03887542471,-312.707995896541,-1416.81233875542
"iso_combo1_9",-1511.15524318512,-400.824363656952,-1504.92870651583
"iso_combo1_10",-1491.30906860703,-380.978189078867,-1485.08253193774
"iso_combo1_11",-1496.33471922758,-386.00383969942,-1490.1081825583
"iso_combo1_12",-1472.48918589681,-362.158306368647,-1466.26264922752
"iso_combo1_13",-1462.18546461261,-351.85458508445,-1455.95892794333
"iso_combo1_14",-1511.32310681745,-400.992227289284,-1505.09657014816
"iso_combo1_15",-1279.93532356828,-169.604444040112,-1273.70878689899
"iso_combo2_1",-1377.20164407727,-266.870764549103,-1370.97510740798
"iso_combo2_2",-1399.96778964955,-289.636910121384,-1393.74125298026
"iso_combo2_3",-1482.77338819684,-372.442508668678,-1476.54685152755
"iso_combo2_4",-1415.79460360243,-305.463724074264,-1409.56806693314
"iso_combo2_5",-1551.77134091078,-441.440461382611,-1545.54480424149
"iso_combo2_6",-1387.34174282728,-277.010863299111,-1381.11520615799
"iso_combo2_7",-1373.6407854448,-263.309905916638,-1367.41424877552
"iso_combo2_8",-1485.00205513388,-374.671175605716,-1478.77551846459
"iso_combo2_9",-1387.59087307048,-277.259993542312,-1381.36433640119
"iso_combo2_10",-1424.43132067767,-314.100441149503,-1418.20478400838
"iso_combo2_11",-1437.53100367537,-327.200124147203,-1431.30446700608
"iso_combo2_12",-1422.66711413057,-312.336234602406,-1416.44057746128
"iso_combo2_13",-1490.00857335347,-379.677693825301,-1483.78203668418
