"OBS.","TOWN","TOWN#","TRACT","LON","LAT","MEDV","CMEDV","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","Latitude","Longitude","Town"
1,"Nahant",0,2011,-70.955,42.255,3.17805383034795,24,0.00632,18,2.31,0,0.289444,6.575,65.2,1.40854497005471,0,296,15.3,158030.1009,1.60542989103656,42.255,-70.955,"Nahant"
2,"Swampscott",1,2021,-70.95,42.2875,3.07269331469012,21.6,0.02731,0,7.07,0,0.219961,6.421,78.9,1.60283616879954,0.693147180559945,242,17.8,158030.1009,2.21266038546606,42.2875,-70.95,"Swampscott"
3,"Swampscott",1,2022,-70.936,42.283,3.54673968695281,34.7,0.02729,0,7.07,0,0.219961,7.185,61.1,1.60283616879954,0.693147180559945,242,17.8,154810.7716,1.39376637595859,42.283,-70.936,"Swampscott"
4,"Marblehead",2,2031,-70.928,42.293,3.50855589998265,33.4,0.03237,0,2.18,0,0.209764,6.998,45.8,1.80207277050312,1.09861228866811,222,18.7,156230.4676,1.07840958135059,42.293,-70.928,"Marblehead"
5,"Marblehead",2,2032,-70.922,42.298,3.58905911883173,36.2,0.06905,0,2.18,0,0.209764,7.147,54.2,1.80207277050312,1.09861228866811,222,18.7,158030.1009,1.67335123817775,42.298,-70.922,"Marblehead"
6,"Marblehead",2,2033,-70.9165,42.304,3.35689712276558,28.7,0.02985,0,2.18,0,0.209764,6.43,58.7,1.80207277050312,1.09861228866811,222,18.7,155827.5625,1.65057985576528,42.304,-70.9165,"Marblehead"
7,"Salem",3,2041,-70.936,42.297,3.13113691056019,22.9,0.08829,12.5,7.87,0,0.274576,6.012,66.6,1.71568803227676,1.6094379124341,311,15.2,156998.2129,2.52011290552262,42.297,-70.936,"Salem"
8,"Salem",3,2042,-70.9375,42.31,3.29953372788566,22.1,0.14455,12.5,7.87,0,0.274576,6.172,96.1,1.78347524964036,1.6094379124341,311,15.2,158030.1009,2.95230271562665,42.31,-70.9375,"Salem"
9,"Salem",3,2043,-70.933,42.312,2.80336038090653,16.5,0.21124,12.5,7.87,0,0.274576,5.631,100,1.80535003107989,1.6094379124341,311,15.2,149970.3076,3.39886132186461,42.312,-70.933,"Salem"
10,"Salem",3,2044,-70.929,42.316,2.9391619220656,18.9,0.17004,12.5,7.87,0,0.274576,6.004,85.9,1.88587196239502,1.6094379124341,311,15.2,150032.2756,2.83907846350861,42.316,-70.929,"Salem"
